Meli id,Item Title,Shop ID,Shopname,Link,L1 Category,Promo Price
MLB-18983640,CMERA DE VIDEO CANON XA15 FULL HD PAL PRETA,0,CATÁLOGO,https://www.mercadolivre.com.br/cmera-de-video-canon-xa15-full-hd-pal-preta/p/MLB18983640,Cameras & Drones,14686.13
MLB-20794864,GRAVADOR DE VIDEO DE CMERAS DE SEGURANCA INTELBRAS MHDX 1216 DE 16 CANAIS,0,CATÁLOGO,https://www.mercadolivre.com.br/gravador-de-video-de-cmeras-de-seguranca-intelbras-mhdx-1216-de-16-canais/p/MLB20794864,Cameras & Drones,1176.21
MLB-2786186621,VINHO TINTO SECO CARMENERE CASILLERO DEL DIABLO RESERVA 2018 ADEGA CONCHA Y TORO 750 ML ,118021979,GOLDSTORECWB,https://produto.mercadolivre.com.br/MLB-2786186621-vinho-tinto-seco-carmenere-casillero-del-diablo-reserva-2018-adega-concha-y-toro-750-ml-_JM,Food & Beverages,53.19
MLB-2169986807,COPO 180ML FLEX TRANSPARENTE DESCARTAVEL PS 2500 COPOS FULL ,700212483,CV DESCARTAVEIS,https://produto.mercadolivre.com.br/MLB-2169986807-copo-180ml-flex-transparente-descartavel-ps-2500-copos-full-_JM,Food & Beverages,167.74
MLB-2725341873,KIT 6 VINHO TINTO DV CATENA PROMOCO ENVIO IMEDIATO BARATO ,1126126763,POP STOREE,https://produto.mercadolivre.com.br/MLB-2725341873-kit-6-vinho-tinto-dv-catena-promoco-envio-imediato-barato-_JM,Food & Beverages,703.58
MLB-1759639757,KIT 40 CAPSULAS DE CAFE PREMIUM PARA MAQUINAS NESPRESSO ,599992806,BICAFÉ_BRASIL,https://produto.mercadolivre.com.br/MLB-1759639757-kit-40-capsulas-de-cafe-premium-para-maquinas-nespresso-_JM,Food & Beverages,71.88
MLB-850128328,MINI JAMON SALAMANCA PRESUNTO CRU REFIL 1KG ,26316144,JAMONES SERRANOS,https://produto.mercadolivre.com.br/MLB-850128328-mini-jamon-salamanca-presunto-cru-refil-1kg-_JM,Food & Beverages,233.11
MLB-19782041,BOLD THIN COOKIES CREAM BARRA DE PROTEINA BOLD SNACKS 12 UN,0,CATÁLOGO,https://www.mercadolivre.com.br/bold-thin-cookies-cream-barra-de-proteina-bold-snacks-12-un/p/MLB19782041,Food & Beverages,117.82
MLB-18415398,CERVEJA BADEN BADEN WITBIER GARRAFA 600ML,0,CATÁLOGO,https://www.mercadolivre.com.br/cerveja-baden-baden-witbier-garrafa-600ml/p/MLB18415398,Food & Beverages,13.58
MLB-20694110,CALDA PANQUECA HUNGRY JACK MAPLE SYRUP 816ML HONEY MAPLE,0,CATÁLOGO,https://www.mercadolivre.com.br/calda-panqueca-hungry-jack-maple-syrup-816ml-honey-maple/p/MLB20694110,Food & Beverages,84.17
MLB-19960622,BALA BUTTER TOFFEES MOUSSE DE MARACUJA ARCOR 500G,0,CATÁLOGO,https://www.mercadolivre.com.br/bala-butter-toffees-mousse-de-maracuja-arcor-500g/p/MLB19960622,Food & Beverages,26.51
MLB-20761475,PANETTONE RECHEADO COM BRIGADEIRO DE PISTACHE OFNER 1KG,0,CATÁLOGO,https://www.mercadolivre.com.br/panettone-recheado-com-brigadeiro-de-pistache-ofner-1kg/p/MLB20761475,Food & Beverages,272.49
MLB-18310980,BEBIDA BASE DE AMNDOA ZERO ACUCAR SILK CAIXA 1L,0,CATÁLOGO,https://www.mercadolivre.com.br/bebida-base-de-amndoa-zero-acucar-silk-caixa-1l/p/MLB18310980,Food & Beverages,21.46
MLB-18311073,BEBIDA VEGETAL CHOCONUTS A TAL DA CASTANHA 1 LITRO,0,CATÁLOGO,https://www.mercadolivre.com.br/bebida-vegetal-choconuts-a-tal-da-castanha-1-litro/p/MLB18311073,Food & Beverages,25.21
MLB-20620547,ENERGETICO RED BULL ENERGY DRINK TROPICAL 250ML 24 LATAS,0,CATÁLOGO,https://www.mercadolivre.com.br/energetico-red-bull-energy-drink-tropical-250ml-24-latas/p/MLB20620547,Food & Beverages,232.62
MLB-18405873,AZEITE DE OLIVA TIPO UNICO PORTUGUS GALLO VIDRO 500ML,0,CATÁLOGO,https://www.mercadolivre.com.br/azeite-de-oliva-tipo-unico-portugus-gallo-vidro-500ml/p/MLB18405873,Food & Beverages,28.62
MLB-18460975,MOSTARDA DIJON ORIGINAL MAILLE 215G,0,CATÁLOGO,https://www.mercadolivre.com.br/mostarda-dijon-original-maille-215g/p/MLB18460975,Food & Beverages,40.31
MLB-2843381275,TRONINHO REDUTOR ASSENTO VASO SANITARIO INFANTIL COM ESCADA ,1118046435,HR VENDA,https://produto.mercadolivre.com.br/MLB-2843381275-troninho-redutor-assento-vaso-sanitario-infantil-com-escada-_JM,Mom & Baby,190.25
MLB-1008429059,KIT 5 MANTA SOFT DE BEB INFANTIL COBERTOR ,32033619,GOLDENXOVAIS,https://produto.mercadolivre.com.br/MLB-1008429059-kit-5-manta-soft-de-beb-infantil-cobertor-_JM,Mom & Baby,70.97
MLB-2005765809,KIT 2 MAMADEIRAS PETALA TRANSPA 125 E 260ML PHILIPS AVENT ,54783568,ALM MAGAZINE,https://produto.mercadolivre.com.br/MLB-2005765809-kit-2-mamadeiras-petala-transpa-125-e-260ml-philips-avent-_JM,Mom & Baby,178.64
